,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,25,vont,will
24,26,pendant,while
25,27,revoir,meet again
26,29,place,square
27,30,parle,speak
28,31,compris,understood
29,32,savais,knew
30,33,étaient,were
31,34,attention,Warning
32,35,voici,here is
33,36,pourrais,could
34,37,affaire,case
35,38,donner,give
36,39,type,type
37,41,donné,given
38,43,corps,body
39,44,endroit,place
40,45,yeux,eyes
41,46,façon,way
42,47,écoute,listen
43,48,dont,whose
44,49,trouve,find
45,50,premier,first
46,51,perdu,lost
47,52,main,hand
48,53,première,first
49,54,côté,side
50,55,pouvoir,power
51,57,sois,be
52,58,tiens,here
53,59,matin,morning
54,60,tellement,so much
55,61,enfant,child
56,62,point,point
57,63,venu,came
58,64,suite,after
59,65,pardon,sorry
60,66,venez,come
61,67,devant,in front of
62,68,vers,towards
63,69,minutes,minutes
64,70,demandé,request
65,71,chambre,bedroom
66,72,mis,placed
67,73,belle,beautiful
68,75,aimerais,would like to
69,77,mari,husband
70,78,cause,cause
71,79,enfin,finally
72,80,espère,hope
73,82,attendez,Wait
74,83,parti,left
75,84,nouvelle,new
76,85,boulot,job
77,86,arrêter,Stop
78,87,dirait,would say
79,89,loin,far
80,90,fin,end
81,91,croire,believe
82,92,chérie,sweetheart
83,93,gros,large
84,94,plutôt,rather
85,96,filles,girls
86,97,jouer,to play
87,98,bureau,office
